comune,area,regione,sigla
Camposampiero,Nord-est,Veneto,PD
Campo San Martino,Nord-est,Veneto,PD
Candiana,Nord-est,Veneto,PD
Carceri,Nord-est,Veneto,PD
Carmignano di Brenta,Nord-est,Veneto,PD
Cartura,Nord-est,Veneto,PD
Casale di Scodosia,Nord-est,Veneto,PD
Casalserugo,Nord-est,Veneto,PD
Castelbaldo,Nord-est,Veneto,PD
Cervarese Santa Croce,Nord-est,Veneto,PD
Cinto Euganeo,Nord-est,Veneto,PD
Cittadella,Nord-est,Veneto,PD
Codevigo,Nord-est,Veneto,PD
Conselve,Nord-est,Veneto,PD
Correzzola,Nord-est,Veneto,PD
Curtarolo,Nord-est,Veneto,PD
Este,Nord-est,Veneto,PD
Fontaniva,Nord-est,Veneto,PD
Galliera Veneta,Nord-est,Veneto,PD
Galzignano Terme,Nord-est,Veneto,PD
Gazzo,Nord-est,Veneto,PD
Grantorto,Nord-est,Veneto,PD
Granze,Nord-est,Veneto,PD
Legnaro,Nord-est,Veneto,PD
Limena,Nord-est,Veneto,PD
Loreggia,Nord-est,Veneto,PD
Lozzo Atestino,Nord-est,Veneto,PD
Maserà di Padova,Nord-est,Veneto,PD
Masi,Nord-est,Veneto,PD
Massanzago,Nord-est,Veneto,PD
Megliadino San Vitale,Nord-est,Veneto,PD
Merlara,Nord-est,Veneto,PD
Mestrino,Nord-est,Veneto,PD
Monselice,Nord-est,Veneto,PD
Montagnana,Nord-est,Veneto,PD
Montegrotto Terme,Nord-est,Veneto,PD
Noventa Padovana,Nord-est,Veneto,PD
Ospedaletto Euganeo,Nord-est,Veneto,PD
Padova,Nord-est,Veneto,PD
Pernumia,Nord-est,Veneto,PD
Piacenza d'Adige,Nord-est,Veneto,PD
Piazzola sul Brenta,Nord-est,Veneto,PD
Piombino Dese,Nord-est,Veneto,PD
Piove di Sacco,Nord-est,Veneto,PD
Polverara,Nord-est,Veneto,PD
Ponso,Nord-est,Veneto,PD
Pontelongo,Nord-est,Veneto,PD
Ponte San Nicolò,Nord-est,Veneto,PD
Pozzonovo,Nord-est,Veneto,PD
Rovolon,Nord-est,Veneto,PD
Rubano,Nord-est,Veneto,PD
Saccolongo,Nord-est,Veneto,PD
San Giorgio delle Pertiche,Nord-est,Veneto,PD
San Giorgio in Bosco,Nord-est,Veneto,PD
San Martino di Lupari,Nord-est,Veneto,PD
San Pietro in Gu,Nord-est,Veneto,PD
San Pietro Viminario,Nord-est,Veneto,PD
Santa Giustina in Colle,Nord-est,Veneto,PD
Sant'Angelo di Piove di Sacco,Nord-est,Veneto,PD
Sant'Elena,Nord-est,Veneto,PD
Sant'Urbano,Nord-est,Veneto,PD
Saonara,Nord-est,Veneto,PD
Selvazzano Dentro,Nord-est,Veneto,PD
Solesino,Nord-est,Veneto,PD
Stanghella,Nord-est,Veneto,PD
Teolo,Nord-est,Veneto,PD
Terrassa Padovana,Nord-est,Veneto,PD
Tombolo,Nord-est,Veneto,PD
Torreglia,Nord-est,Veneto,PD
Trebaseleghe,Nord-est,Veneto,PD
Tribano,Nord-est,Veneto,PD
Urbana,Nord-est,Veneto,PD
Veggiano,Nord-est,Veneto,PD
Vescovana,Nord-est,Veneto,PD
Vighizzolo d'Este,Nord-est,Veneto,PD
Vigodarzere,Nord-est,Veneto,PD
Vigonza,Nord-est,Veneto,PD
Villa del Conte,Nord-est,Veneto,PD
Villa Estense,Nord-est,Veneto,PD
Villafranca Padovana,Nord-est,Veneto,PD
Villanova di Camposampiero,Nord-est,Veneto,PD
Vo',Nord-est,Veneto,PD
Due Carrare,Nord-est,Veneto,PD
Borgo Veneto,Nord-est,Veneto,PD
Adria,Nord-est,Veneto,RO
Ariano nel Polesine,Nord-est,Veneto,RO
Arquà Polesine,Nord-est,Veneto,RO
Badia Polesine,Nord-est,Veneto,RO
Bagnolo di Po,Nord-est,Veneto,RO
Bergantino,Nord-est,Veneto,RO
Bosaro,Nord-est,Veneto,RO
Calto,Nord-est,Veneto,RO
Canaro,Nord-est,Veneto,RO
Canda,Nord-est,Veneto,RO
Castelguglielmo,Nord-est,Veneto,RO
Castelmassa,Nord-est,Veneto,RO
Castelnovo Bariano,Nord-est,Veneto,RO
Ceneselli,Nord-est,Veneto,RO
Ceregnano,Nord-est,Veneto,RO
Corbola,Nord-est,Veneto,RO
Costa di Rovigo,Nord-est,Veneto,RO
Crespino,Nord-est,Veneto,RO
Ficarolo,Nord-est,Veneto,RO
Fiesso Umbertiano,Nord-est,Veneto,RO
Frassinelle Polesine,Nord-est,Veneto,RO
Fratta Polesine,Nord-est,Veneto,RO
Gaiba,Nord-est,Veneto,RO
Gavello,Nord-est,Veneto,RO
Giacciano con Baruchella,Nord-est,Veneto,RO
Guarda Veneta,Nord-est,Veneto,RO
Lendinara,Nord-est,Veneto,RO
Loreo,Nord-est,Veneto,RO
Lusia,Nord-est,Veneto,RO
Melara,Nord-est,Veneto,RO
Occhiobello,Nord-est,Veneto,RO
Papozze,Nord-est,Veneto,RO
Pettorazza Grimani,Nord-est,Veneto,RO
Pincara,Nord-est,Veneto,RO
Polesella,Nord-est,Veneto,RO
Pontecchio Polesine,Nord-est,Veneto,RO
Porto Tolle,Nord-est,Veneto,RO
Rosolina,Nord-est,Veneto,RO
Rovigo,Nord-est,Veneto,RO
Salara,Nord-est,Veneto,RO
San Bellino,Nord-est,Veneto,RO
San Martino di Venezze,Nord-est,Veneto,RO
Stienta,Nord-est,Veneto,RO
Taglio di Po,Nord-est,Veneto,RO
Trecenta,Nord-est,Veneto,RO
Villadose,Nord-est,Veneto,RO
Villamarzana,Nord-est,Veneto,RO
Villanova del Ghebbo,Nord-est,Veneto,RO
Villanova Marchesana,Nord-est,Veneto,RO
Porto Viro,Nord-est,Veneto,RO
Aiello del Friuli,Nord-est,Friuli-Venezia Giulia,UD
Amaro,Nord-est,Friuli-Venezia Giulia,UD
Ampezzo,Nord-est,Friuli-Venezia Giulia,UD
Aquileia,Nord-est,Friuli-Venezia Giulia,UD
Arta Terme,Nord-est,Friuli-Venezia Giulia,UD
Artegna,Nord-est,Friuli-Venezia Giulia,UD
Attimis,Nord-est,Friuli-Venezia Giulia,UD
Bagnaria Arsa,Nord-est,Friuli-Venezia Giulia,UD
Basiliano,Nord-est,Friuli-Venezia Giulia,UD
Bertiolo,Nord-est,Friuli-Venezia Giulia,UD
Bicinicco,Nord-est,Friuli-Venezia Giulia,UD
Bordano,Nord-est,Friuli-Venezia Giulia,UD
Buja,Nord-est,Friuli-Venezia Giulia,UD
Buttrio,Nord-est,Friuli-Venezia Giulia,UD
Camino al Tagliamento,Nord-est,Friuli-Venezia Giulia,UD
Campoformido,Nord-est,Friuli-Venezia Giulia,UD
Carlino,Nord-est,Friuli-Venezia Giulia,UD
Cassacco,Nord-est,Friuli-Venezia Giulia,UD
Castions di Strada,Nord-est,Friuli-Venezia Giulia,UD
Cavazzo Carnico,Nord-est,Friuli-Venezia Giulia,UD
Cercivento,Nord-est,Friuli-Venezia Giulia,UD
Cervignano del Friuli,Nord-est,Friuli-Venezia Giulia,UD
Chiopris-Viscone,Nord-est,Friuli-Venezia Giulia,UD
Chiusaforte,Nord-est,Friuli-Venezia Giulia,UD
Cividale del Friuli,Nord-est,Friuli-Venezia Giulia,UD
Codroipo,Nord-est,Friuli-Venezia Giulia,UD
Colloredo di Monte Albano,Nord-est,Friuli-Venezia Giulia,UD
Comeglians,Nord-est,Friuli-Venezia Giulia,UD
Corno di Rosazzo,Nord-est,Friuli-Venezia Giulia,UD
Coseano,Nord-est,Friuli-Venezia Giulia,UD
Dignano,Nord-est,Friuli-Venezia Giulia,UD
Dogna,Nord-est,Friuli-Venezia Giulia,UD
Drenchia,Nord-est,Friuli-Venezia Giulia,UD
Enemonzo,Nord-est,Friuli-Venezia Giulia,UD
Faedis,Nord-est,Friuli-Venezia Giulia,UD
Fagagna,Nord-est,Friuli-Venezia Giulia,UD
Flaibano,Nord-est,Friuli-Venezia Giulia,UD
Forni Avoltri,Nord-est,Friuli-Venezia Giulia,UD
Forni di Sopra,Nord-est,Friuli-Venezia Giulia,UD
Forni di Sotto,Nord-est,Friuli-Venezia Giulia,UD
Gemona del Friuli,Nord-est,Friuli-Venezia Giulia,UD
Gonars,Nord-est,Friuli-Venezia Giulia,UD
Grimacco,Nord-est,Friuli-Venezia Giulia,UD
Latisana,Nord-est,Friuli-Venezia Giulia,UD
Lauco,Nord-est,Friuli-Venezia Giulia,UD
Lestizza,Nord-est,Friuli-Venezia Giulia,UD
Lignano Sabbiadoro,Nord-est,Friuli-Venezia Giulia,UD
Lusevera,Nord-est,Friuli-Venezia Giulia,UD
Magnano in Riviera,Nord-est,Friuli-Venezia Giulia,UD
Majano,Nord-est,Friuli-Venezia Giulia,UD
Malborghetto Valbruna,Nord-est,Friuli-Venezia Giulia,UD
Manzano,Nord-est,Friuli-Venezia Giulia,UD
Marano Lagunare,Nord-est,Friuli-Venezia Giulia,UD
Martignacco,Nord-est,Friuli-Venezia Giulia,UD
Mereto di Tomba,Nord-est,Friuli-Venezia Giulia,UD
Moggio Udinese,Nord-est,Friuli-Venezia Giulia,UD
Moimacco,Nord-est,Friuli-Venezia Giulia,UD
Montenars,Nord-est,Friuli-Venezia Giulia,UD
Mortegliano,Nord-est,Friuli-Venezia Giulia,UD
Moruzzo,Nord-est,Friuli-Venezia Giulia,UD
Muzzana del Turgnano,Nord-est,Friuli-Venezia Giulia,UD
Nimis,Nord-est,Friuli-Venezia Giulia,UD
Osoppo,Nord-est,Friuli-Venezia Giulia,UD
Ovaro,Nord-est,Friuli-Venezia Giulia,UD
Pagnacco,Nord-est,Friuli-Venezia Giulia,UD
Palazzolo dello Stella,Nord-est,Friuli-Venezia Giulia,UD
Palmanova,Nord-est,Friuli-Venezia Giulia,UD
Paluzza,Nord-est,Friuli-Venezia Giulia,UD
Pasian di Prato,Nord-est,Friuli-Venezia Giulia,UD
Paularo,Nord-est,Friuli-Venezia Giulia,UD
Pavia di Udine,Nord-est,Friuli-Venezia Giulia,UD
Pocenia,Nord-est,Friuli-Venezia Giulia,UD
Pontebba,Nord-est,Friuli-Venezia Giulia,UD
Porpetto,Nord-est,Friuli-Venezia Giulia,UD
Povoletto,Nord-est,Friuli-Venezia Giulia,UD
Pozzuolo del Friuli,Nord-est,Friuli-Venezia Giulia,UD
Pradamano,Nord-est,Friuli-Venezia Giulia,UD
Prato Carnico,Nord-est,Friuli-Venezia Giulia,UD
Precenicco,Nord-est,Friuli-Venezia Giulia,UD
Premariacco,Nord-est,Friuli-Venezia Giulia,UD
Preone,Nord-est,Friuli-Venezia Giulia,UD
Prepotto,Nord-est,Friuli-Venezia Giulia,UD
Pulfero,Nord-est,Friuli-Venezia Giulia,UD
Ragogna,Nord-est,Friuli-Venezia Giulia,UD
Ravascletto,Nord-est,Friuli-Venezia Giulia,UD
Raveo,Nord-est,Friuli-Venezia Giulia,UD
Reana del Rojale,Nord-est,Friuli-Venezia Giulia,UD
Remanzacco,Nord-est,Friuli-Venezia Giulia,UD
Resia,Nord-est,Friuli-Venezia Giulia,UD
Resiutta,Nord-est,Friuli-Venezia Giulia,UD
Rigolato,Nord-est,Friuli-Venezia Giulia,UD
Rive d'Arcano,Nord-est,Friuli-Venezia Giulia,UD
Ronchis,Nord-est,Friuli-Venezia Giulia,UD
Ruda,Nord-est,Friuli-Venezia Giulia,UD
San Daniele del Friuli,Nord-est,Friuli-Venezia Giulia,UD
San Giorgio di Nogaro,Nord-est,Friuli-Venezia Giulia,UD
San Giovanni al Natisone,Nord-est,Friuli-Venezia Giulia,UD
San Leonardo,Nord-est,Friuli-Venezia Giulia,UD
San Pietro al Natisone,Nord-est,Friuli-Venezia Giulia,UD
Santa Maria la Longa,Nord-est,Friuli-Venezia Giulia,UD
San Vito al Torre,Nord-est,Friuli-Venezia Giulia,UD
San Vito di Fagagna,Nord-est,Friuli-Venezia Giulia,UD
Sauris,Nord-est,Friuli-Venezia Giulia,UD
Savogna,Nord-est,Friuli-Venezia Giulia,UD
Sedegliano,Nord-est,Friuli-Venezia Giulia,UD
Socchieve,Nord-est,Friuli-Venezia Giulia,UD
Stregna,Nord-est,Friuli-Venezia Giulia,UD
Sutrio,Nord-est,Friuli-Venezia Giulia,UD
Taipana,Nord-est,Friuli-Venezia Giulia,UD
Talmassons,Nord-est,Friuli-Venezia Giulia,UD
Tarcento,Nord-est,Friuli-Venezia Giulia,UD
Tarvisio,Nord-est,Friuli-Venezia Giulia,UD
Tavagnacco,Nord-est,Friuli-Venezia Giulia,UD
Terzo d'Aquileia,Nord-est,Friuli-Venezia Giulia,UD
Tolmezzo,Nord-est,Friuli-Venezia Giulia,UD
Torreano,Nord-est,Friuli-Venezia Giulia,UD
Torviscosa,Nord-est,Friuli-Venezia Giulia,UD
Trasaghis,Nord-est,Friuli-Venezia Giulia,UD
Treppo Grande,Nord-est,Friuli-Venezia Giulia,UD
Tricesimo,Nord-est,Friuli-Venezia Giulia,UD
Trivignano Udinese,Nord-est,Friuli-Venezia Giulia,UD
Udine,Nord-est,Friuli-Venezia Giulia,UD
Varmo,Nord-est,Friuli-Venezia Giulia,UD
Venzone,Nord-est,Friuli-Venezia Giulia,UD
Verzegnis,Nord-est,Friuli-Venezia Giulia,UD
Villa Santina,Nord-est,Friuli-Venezia Giulia,UD
Visco,Nord-est,Friuli-Venezia Giulia,UD
Zuglio,Nord-est,Friuli-Venezia Giulia,UD
Forgaria nel Friuli,Nord-est,Friuli-Venezia Giulia,UD
Campolongo Tapogliano,Nord-est,Friuli-Venezia Giulia,UD
Rivignano Teor,Nord-est,Friuli-Venezia Giulia,UD
Sappada,Nord-est,Friuli-Venezia Giulia,UD
Fiumicello Villa Vicentina,Nord-est,Friuli-Venezia Giulia,UD
Treppo Ligosullo,Nord-est,Friuli-Venezia Giulia,UD
Capriva del Friuli,Nord-est,Friuli-Venezia Giulia,GO
Cormons,Nord-est,Friuli-Venezia Giulia,GO
Doberdò del Lago,Nord-est,Friuli-Venezia Giulia,GO
Dolegna del Collio,Nord-est,Friuli-Venezia Giulia,GO
Farra d'Isonzo,Nord-est,Friuli-Venezia Giulia,GO
Fogliano Redipuglia,Nord-est,Friuli-Venezia Giulia,GO
Gorizia,Nord-est,Friuli-Venezia Giulia,GO
Gradisca d'Isonzo,Nord-est,Friuli-Venezia Giulia,GO
Grado,Nord-est,Friuli-Venezia Giulia,GO
Mariano del Friuli,Nord-est,Friuli-Venezia Giulia,GO
Medea,Nord-est,Friuli-Venezia Giulia,GO
Monfalcone,Nord-est,Friuli-Venezia Giulia,GO
Moraro,Nord-est,Friuli-Venezia Giulia,GO
Mossa,Nord-est,Friuli-Venezia Giulia,GO
Romans d'Isonzo,Nord-est,Friuli-Venezia Giulia,GO
Ronchi dei Legionari,Nord-est,Friuli-Venezia Giulia,GO
Sagrado,Nord-est,Friuli-Venezia Giulia,GO
San Canzian d'Isonzo,Nord-est,Friuli-Venezia Giulia,GO
San Floriano del Collio,Nord-est,Friuli-Venezia Giulia,GO
San Lorenzo Isontino,Nord-est,Friuli-Venezia Giulia,GO
San Pier d'Isonzo,Nord-est,Friuli-Venezia Giulia,GO
Savogna d'Isonzo,Nord-est,Friuli-Venezia Giulia,GO
Staranzano,Nord-est,Friuli-Venezia Giulia,GO
Turriaco,Nord-est,Friuli-Venezia Giulia,GO
Villesse,Nord-est,Friuli-Venezia Giulia,GO
Duino Aurisina,Nord-est,Friuli-Venezia Giulia,TS
Monrupino,Nord-est,Friuli-Venezia Giulia,TS
Muggia,Nord-est,Friuli-Venezia Giulia,TS
San Dorligo della Valle,Nord-est,Friuli-Venezia Giulia,TS
Sgonico,Nord-est,Friuli-Venezia Giulia,TS
Trieste,Nord-est,Friuli-Venezia Giulia,TS
Andreis,Nord-est,Friuli-Venezia Giulia,PN
Arba,Nord-est,Friuli-Venezia Giulia,PN
Aviano,Nord-est,Friuli-Venezia Giulia,PN
Azzano Decimo,Nord-est,Friuli-Venezia Giulia,PN
Barcis,Nord-est,Friuli-Venezia Giulia,PN
Brugnera,Nord-est,Friuli-Venezia Giulia,PN
Budoia,Nord-est,Friuli-Venezia Giulia,PN
Caneva,Nord-est,Friuli-Venezia Giulia,PN
Casarsa della Delizia,Nord-est,Friuli-Venezia Giulia,PN
Castelnovo del Friuli,Nord-est,Friuli-Venezia Giulia,PN
Cavasso Nuovo,Nord-est,Friuli-Venezia Giulia,PN
Chions,Nord-est,Friuli-Venezia Giulia,PN
Cimolais,Nord-est,Friuli-Venezia Giulia,PN
Claut,Nord-est,Friuli-Venezia Giulia,PN
Clauzetto,Nord-est,Friuli-Venezia Giulia,PN
Cordenons,Nord-est,Friuli-Venezia Giulia,PN
Cordovado,Nord-est,Friuli-Venezia Giulia,PN
Erto e Casso,Nord-est,Friuli-Venezia Giulia,PN
Fanna,Nord-est,Friuli-Venezia Giulia,PN
Fiume Veneto,Nord-est,Friuli-Venezia Giulia,PN
Fontanafredda,Nord-est,Friuli-Venezia Giulia,PN
Frisanco,Nord-est,Friuli-Venezia Giulia,PN
Maniago,Nord-est,Friuli-Venezia Giulia,PN
Meduno,Nord-est,Friuli-Venezia Giulia,PN
Montereale Valcellina,Nord-est,Friuli-Venezia Giulia,PN
Morsano al Tagliamento,Nord-est,Friuli-Venezia Giulia,PN
Pasiano di Pordenone,Nord-est,Friuli-Venezia Giulia,PN
Pinzano al Tagliamento,Nord-est,Friuli-Venezia Giulia,PN
Polcenigo,Nord-est,Friuli-Venezia Giulia,PN
Porcia,Nord-est,Friuli-Venezia Giulia,PN
Pordenone,Nord-est,Friuli-Venezia Giulia,PN
Prata di Pordenone,Nord-est,Friuli-Venezia Giulia,PN
Pravisdomini,Nord-est,Friuli-Venezia Giulia,PN
Roveredo in Piano,Nord-est,Friuli-Venezia Giulia,PN
Sacile,Nord-est,Friuli-Venezia Giulia,PN
San Giorgio della Richinvelda,Nord-est,Friuli-Venezia Giulia,PN
San Martino al Tagliamento,Nord-est,Friuli-Venezia Giulia,PN
San Quirino,Nord-est,Friuli-Venezia Giulia,PN
San Vito al Tagliamento,Nord-est,Friuli-Venezia Giulia,PN
Sequals,Nord-est,Friuli-Venezia Giulia,PN
Sesto al Reghena,Nord-est,Friuli-Venezia Giulia,PN
Spilimbergo,Nord-est,Friuli-Venezia Giulia,PN
Tramonti di Sopra,Nord-est,Friuli-Venezia Giulia,PN
Tramonti di Sotto,Nord-est,Friuli-Venezia Giulia,PN
Travesio,Nord-est,Friuli-Venezia Giulia,PN
Vito d'Asio,Nord-est,Friuli-Venezia Giulia,PN
Vivaro,Nord-est,Friuli-Venezia Giulia,PN
Zoppola,Nord-est,Friuli-Venezia Giulia,PN
Vajont,Nord-est,Friuli-Venezia Giulia,PN
Valvasone Arzene,Nord-est,Friuli-Venezia Giulia,PN
Airole,Nord-ovest,Liguria,IM
Apricale,Nord-ovest,Liguria,IM
Aquila d'Arroscia,Nord-ovest,Liguria,IM
Armo,Nord-ovest,Liguria,IM
Aurigo,Nord-ovest,Liguria,IM
Badalucco,Nord-ovest,Liguria,IM
Bajardo,Nord-ovest,Liguria,IM
Bordighera,Nord-ovest,Liguria,IM
Borghetto d'Arroscia,Nord-ovest,Liguria,IM
Borgomaro,Nord-ovest,Liguria,IM
Camporosso,Nord-ovest,Liguria,IM
Caravonica,Nord-ovest,Liguria,IM
Castellaro,Nord-ovest,Liguria,IM
Castel Vittorio,Nord-ovest,Liguria,IM
Ceriana,Nord-ovest,Liguria,IM
Cervo,Nord-ovest,Liguria,IM
Cesio,Nord-ovest,Liguria,IM
Chiusanico,Nord-ovest,Liguria,IM
Chiusavecchia,Nord-ovest,Liguria,IM
Cipressa,Nord-ovest,Liguria,IM
Civezza,Nord-ovest,Liguria,IM
Cosio d'Arroscia,Nord-ovest,Liguria,IM
Costarainera,Nord-ovest,Liguria,IM
Diano Arentino,Nord-ovest,Liguria,IM
Diano Castello,Nord-ovest,Liguria,IM
Diano Marina,Nord-ovest,Liguria,IM
Diano San Pietro,Nord-ovest,Liguria,IM
Dolceacqua,Nord-ovest,Liguria,IM
Dolcedo,Nord-ovest,Liguria,IM
Imperia,Nord-ovest,Liguria,IM
Isolabona,Nord-ovest,Liguria,IM
Lucinasco,Nord-ovest,Liguria,IM
Mendatica,Nord-ovest,Liguria,IM
Molini di Triora,Nord-ovest,Liguria,IM
Montegrosso Pian Latte,Nord-ovest,Liguria,IM
Olivetta San Michele,Nord-ovest,Liguria,IM
Ospedaletti,Nord-ovest,Liguria,IM
Perinaldo,Nord-ovest,Liguria,IM
Pietrabruna,Nord-ovest,Liguria,IM
Pieve di Teco,Nord-ovest,Liguria,IM
Pigna,Nord-ovest,Liguria,IM
Pompeiana,Nord-ovest,Liguria,IM
Pontedassio,Nord-ovest,Liguria,IM
Pornassio,Nord-ovest,Liguria,IM
Prelà,Nord-ovest,Liguria,IM
Ranzo,Nord-ovest,Liguria,IM
Rezzo,Nord-ovest,Liguria,IM
Riva Ligure,Nord-ovest,Liguria,IM
Rocchetta Nervina,Nord-ovest,Liguria,IM
San Bartolomeo al Mare,Nord-ovest,Liguria,IM
San Biagio della Cima,Nord-ovest,Liguria,IM
San Lorenzo al Mare,Nord-ovest,Liguria,IM
Sanremo,Nord-ovest,Liguria,IM
Santo Stefano al Mare,Nord-ovest,Liguria,IM
Seborga,Nord-ovest,Liguria,IM
Soldano,Nord-ovest,Liguria,IM
Taggia,Nord-ovest,Liguria,IM
Terzorio,Nord-ovest,Liguria,IM
Triora,Nord-ovest,Liguria,IM
Vallebona,Nord-ovest,Liguria,IM
Vallecrosia,Nord-ovest,Liguria,IM
Vasia,Nord-ovest,Liguria,IM
Ventimiglia,Nord-ovest,Liguria,IM
Vessalico,Nord-ovest,Liguria,IM
Villa Faraldi,Nord-ovest,Liguria,IM
Montalto Carpasio,Nord-ovest,Liguria,IM
Alassio,Nord-ovest,Liguria,SV
Albenga,Nord-ovest,Liguria,SV
Albissola Marina,Nord-ovest,Liguria,SV
Albisola Superiore,Nord-ovest,Liguria,SV
Altare,Nord-ovest,Liguria,SV
Andora,Nord-ovest,Liguria,SV
Arnasco,Nord-ovest,Liguria,SV
Balestrino,Nord-ovest,Liguria,SV
Bardineto,Nord-ovest,Liguria,SV
Bergeggi,Nord-ovest,Liguria,SV
Boissano,Nord-ovest,Liguria,SV
Borghetto Santo Spirito,Nord-ovest,Liguria,SV
Borgio Verezzi,Nord-ovest,Liguria,SV
Bormida,Nord-ovest,Liguria,SV
Cairo Montenotte,Nord-ovest,Liguria,SV
Calice Ligure,Nord-ovest,Liguria,SV
Calizzano,Nord-ovest,Liguria,SV
Carcare,Nord-ovest,Liguria,SV
Casanova Lerrone,Nord-ovest,Liguria,SV
Castelbianco,Nord-ovest,Liguria,SV
Castelvecchio di Rocca Barbena,Nord-ovest,Liguria,SV
Celle Ligure,Nord-ovest,Liguria,SV
Cengio,Nord-ovest,Liguria,SV
Ceriale,Nord-ovest,Liguria,SV
Cisano sul Neva,Nord-ovest,Liguria,SV
Cosseria,Nord-ovest,Liguria,SV
Dego,Nord-ovest,Liguria,SV
Erli,Nord-ovest,Liguria,SV
Finale Ligure,Nord-ovest,Liguria,SV
Garlenda,Nord-ovest,Liguria,SV
Giustenice,Nord-ovest,Liguria,SV
Giusvalla,Nord-ovest,Liguria,SV
Laigueglia,Nord-ovest,Liguria,SV
Loano,Nord-ovest,Liguria,SV
Magliolo,Nord-ovest,Liguria,SV
Mallare,Nord-ovest,Liguria,SV
Massimino,Nord-ovest,Liguria,SV
Millesimo,Nord-ovest,Liguria,SV
Mioglia,Nord-ovest,Liguria,SV
Murialdo,Nord-ovest,Liguria,SV
Nasino,Nord-ovest,Liguria,SV
Noli,Nord-ovest,Liguria,SV
Onzo,Nord-ovest,Liguria,SV
Orco Feglino,Nord-ovest,Liguria,SV
Ortovero,Nord-ovest,Liguria,SV
Osiglia,Nord-ovest,Liguria,SV
Pallare,Nord-ovest,Liguria,SV
Piana Crixia,Nord-ovest,Liguria,SV
Pietra Ligure,Nord-ovest,Liguria,SV
Plodio,Nord-ovest,Liguria,SV
Pontinvrea,Nord-ovest,Liguria,SV
Quiliano,Nord-ovest,Liguria,SV
Rialto,Nord-ovest,Liguria,SV
Roccavignale,Nord-ovest,Liguria,SV
Sassello,Nord-ovest,Liguria,SV
Savona,Nord-ovest,Liguria,SV
Spotorno,Nord-ovest,Liguria,SV
Stella,Nord-ovest,Liguria,SV
Stellanello,Nord-ovest,Liguria,SV
Testico,Nord-ovest,Liguria,SV
Toirano,Nord-ovest,Liguria,SV
Tovo San Giacomo,Nord-ovest,Liguria,SV
Urbe,Nord-ovest,Liguria,SV
Vado Ligure,Nord-ovest,Liguria,SV
Varazze,Nord-ovest,Liguria,SV
Vendone,Nord-ovest,Liguria,SV
Vezzi Portio,Nord-ovest,Liguria,SV
Villanova d'Albenga,Nord-ovest,Liguria,SV
Zuccarello,Nord-ovest,Liguria,SV
Arenzano,Nord-ovest,Liguria,GE
Avegno,Nord-ovest,Liguria,GE
Bargagli,Nord-ovest,Liguria,GE
Bogliasco,Nord-ovest,Liguria,GE
Borzonasca,Nord-ovest,Liguria,GE
Busalla,Nord-ovest,Liguria,GE
Camogli,Nord-ovest,Liguria,GE
Campo Ligure,Nord-ovest,Liguria,GE
Campomorone,Nord-ovest,Liguria,GE
Carasco,Nord-ovest,Liguria,GE
Casarza Ligure,Nord-ovest,Liguria,GE
Casella,Nord-ovest,Liguria,GE
Castiglione Chiavarese,Nord-ovest,Liguria,GE
Ceranesi,Nord-ovest,Liguria,GE
Chiavari,Nord-ovest,Liguria,GE
Cicagna,Nord-ovest,Liguria,GE
Cogoleto,Nord-ovest,Liguria,GE
Cogorno,Nord-ovest,Liguria,GE
Coreglia Ligure,Nord-ovest,Liguria,GE
Crocefieschi,Nord-ovest,Liguria,GE
Davagna,Nord-ovest,Liguria,GE
Fascia,Nord-ovest,Liguria,GE
Favale di Malvaro,Nord-ovest,Liguria,GE
Fontanigorda,Nord-ovest,Liguria,GE
Genova,Nord-ovest,Liguria,GE
Gorreto,Nord-ovest,Liguria,GE
Isola del Cantone,Nord-ovest,Liguria,GE
Lavagna,Nord-ovest,Liguria,GE
Leivi,Nord-ovest,Liguria,GE
Lorsica,Nord-ovest,Liguria,GE
Lumarzo,Nord-ovest,Liguria,GE
Masone,Nord-ovest,Liguria,GE
Mele,Nord-ovest,Liguria,GE
Mezzanego,Nord-ovest,Liguria,GE
Mignanego,Nord-ovest,Liguria,GE
Moconesi,Nord-ovest,Liguria,GE
Moneglia,Nord-ovest,Liguria,GE
Montebruno,Nord-ovest,Liguria,GE
Montoggio,Nord-ovest,Liguria,GE
Ne,Nord-ovest,Liguria,GE
Neirone,Nord-ovest,Liguria,GE
Orero,Nord-ovest,Liguria,GE
Pieve Ligure,Nord-ovest,Liguria,GE
Portofino,Nord-ovest,Liguria,GE
Propata,Nord-ovest,Liguria,GE
Rapallo,Nord-ovest,Liguria,GE
Recco,Nord-ovest,Liguria,GE
Rezzoaglio,Nord-ovest,Liguria,GE
Ronco Scrivia,Nord-ovest,Liguria,GE
Rondanina,Nord-ovest,Liguria,GE
Rossiglione,Nord-ovest,Liguria,GE
Rovegno,Nord-ovest,Liguria,GE
San Colombano Certenoli,Nord-ovest,Liguria,GE
Santa Margherita Ligure,Nord-ovest,Liguria,GE
Sant'Olcese,Nord-ovest,Liguria,GE
Santo Stefano d'Aveto,Nord-ovest,Liguria,GE
Savignone,Nord-ovest,Liguria,GE
Serra Riccò,Nord-ovest,Liguria,GE
Sestri Levante,Nord-ovest,Liguria,GE
Sori,Nord-ovest,Liguria,GE
Tiglieto,Nord-ovest,Liguria,GE
Torriglia,Nord-ovest,Liguria,GE
Tribogna,Nord-ovest,Liguria,GE
